"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-1.191,-1.0383,-1.5065,-0.82569,-0.24428,-1.0066,-0.55513,-0.71817,-0.66242,-0.3904,-0.66853,-0.56954,0.13192,-1.0481,0.57329,-0.070159,-1.5387,0.15674,-0.42405,0.6829,-0.43385,-0.91281,-0.69215,-0.76654
-1.2427,-1.1207,-1.4454,-0.93948,-0.51922,-1.0806,-0.66773,-0.7673,-0.72426,-0.45898,-0.59509,-0.78018,0.15674,-1.0372,0.96492,-0.14004,-1.5115,0.2721,-0.52673,1.0627,-0.5442,-1.026,-0.82093,-0.86914
-1.1889,-1.2419,-1.3605,-1.0687,-0.78502,-1.0546,-0.74422,-0.6339,-0.76238,-0.50676,-0.62259,-0.68108,0.16882,-1.0122,1.0919,-0.13149,-1.4365,0.40704,-0.55432,1.2278,-0.6361,-0.98217,-0.93385,-1.044
-1.1882,-1.2476,-1.3251,-1.0363,-1.0032,-1.0522,-0.76899,-0.6526,-0.72774,-0.58632,-0.77078,-0.95276,0.084146,-1.0682,1.0169,-0.18055,-1.2816,0.4162,-0.64253,1.1478,-0.68651,-1.057,-1.0675,-1.1059
-1.3068,-1.4461,-1.4041,-1.1504,-1.238,-1.0608,-0.86137,-0.78834,-0.7012,-0.73489,-0.71748,-0.92929,-0.17932,-1.21,0.80594,-0.26856,-1.2266,0.26936,-0.73099,0.90344,-0.7196,-0.96887,-1.1699,-1.085
-1.3936,-1.7024,-1.421,-1.1992,-1.4089,-1.036,-0.8491,-0.65871,-0.67347,-0.64659,-0.56578,-1.0322,-0.33188,-1.2342,0.58612,-0.20776,-1.1609,0.078188,-0.76997,0.7486,-0.75143,-0.9184,-1.1826,-1.0659
-1.3106,-1.9361,-1.2613,-1.0835,-2.0625,-0.9846,-0.64906,-0.58834,-0.61531,-0.53889,-0.60918,-1.0657,-0.27922,-1.1291,0.26719,-0.10184,-1.0105,0.010995,-0.70244,0.5867,-0.67359,-0.89863,-1.0953,-1.2094
-1.2819,-1.9029,-1.1878,-0.93255,-2.1807,-0.90232,-0.64493,-0.48596,-0.55882,-0.63318,-0.403,-0.66044,-0.3578,-1.0488,0.11893,-0.0013921,-0.86952,-0.024584,-0.63475,0.56709,-0.58272,-0.80555,-1.0539,-0.89947
-1.2146,-1.7932,-1.0477,-0.82652,-2.032,-0.75463,-0.69518,-0.31915,-0.44998,-0.73571,-0.32028,-0.35435,-0.52569,-0.94403,0.094283,0.098127,-0.63546,0.047166,-0.50344,0.67366,-0.4852,-0.63554,-0.96052,-0.57385
-1.1753,-1.8161,-0.84583,-0.8496,-2.1174,-0.63146,-0.81117,-0.20136,-0.38188,-0.79508,-0.29138,-0.30823,-0.62892,-0.81525,-0.041556,0.19337,-0.37554,0.16587,-0.36623,0.65989,-0.32573,-0.478,-0.80466,-0.52792
-1.2336,-1.8859,-0.84319,-0.9766,-2.2795,-0.7143,-0.89294,-0.3078,-0.47699,-0.78615,-0.26416,-0.41169,-0.75378,-0.83364,-0.3131,0.10988,-0.3898,-0.019738,-0.49138,0.36934,-0.45495,-0.46204,-0.82231,-0.60182
-1.2736,-2.0635,-0.82803,-1.0978,-2.4483,-0.74584,-0.91834,-0.36485,-0.5799,-0.78171,-0.37263,-0.43674,-0.89715,-0.88995,-0.64493,0.058314,-0.46164,-0.21595,-0.57084,0.09957,-0.49664,-0.44831,-0.87275,-0.30368
-1.1475,-1.9994,-0.65768,-1.1815,-2.4455,-0.59028,-0.99594,-0.2799,-0.53667,-0.84385,-0.26655,-0.29454,-0.86578,-0.82327,-0.70742,0.020968,-0.40129,-0.33468,-0.60502,0.116,-0.4652,-0.269,-0.68124,-0.48553
